date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-06-06,8951,4320,4856748,1124.24722222,2591558924.9740537630735255,0.189484079634876,0.01578334748069820998940914211,0.172257,0.0143483932382159719743,601.990921,50.1436949461781255085079,0,0,0,0,0,60.83332901,45.34506851705758,0.0000107110069591705,0.0832964305555999,-61.10717622766001,30.256106211439658,31112484745,3177,7570,511438141.741583,42600971.65706282685649934064,169233.37691975,14096.53622828561878577540802,65122.212512,5424.4478521328269194459488,1281096663.282529,106710779.2481239250815767841,0.0545502221269034,0.0749433956656806,0.0587036944943654
2019-06-07,8978,4313,4794525,1111.64502666,2662686665.3866592069404635,0.190275108231707,0.01628423437073732124176370366,0.172433,0.0147572607439013404659,624.102355,53.4122887360185026788665,0,0,0,0,0,48.3779635,45.43543423093757,0.0000106658911661943,0.0855825784153923,-59.07337042425254,33.58548502452024,31112484745,3280,7453,643112741.767297,55039246.65223763431368956561,168900.09869022,14454.90594052325145231747331,51893.002324,4441.1369406038648612717052,1258812435.538218,107732413.9747205068328261129,0.0543998200648443,0.0743433944989238,0.0585910898914875
2019-06-08,8291,4320,4616886,1068.72361111,2614492732.786333618901939,0.188217345033345,0.01581657282622215798241044886,0.172257,0.0144753682762014792654,536.231216,45.0614159819069360750752,0,0,0,0,0,72.59761137,45.596247075967774,0.0000105838310233912,0.0840335561179022,-59.05478301670111,36.873070678288684,31112484745,2849,6933,428560722.010386,36013481.48298845647122893225,154469.99978257,12980.66339526093672728452465,49007.597834,4118.2827227870213053438348,1070940508.492536,89994939.31934224155840467798,0.0544006928572797,0.074531732104061,0.0579051093225162
2019-06-09,8162,4320,4534136,1049.56851852,2452047644.9685802515731245,0.186533663324709,0.0147011540097651796529791806,0.172257,0.0135759768029209757157,576.762087,45.4559681981939175177987,0,0,0,0,0,54.05349238,45.71176524674266,0.0000103237697931837,0.0788123373965701,-60.955952630554364,26.001762060733984,31112484745,3092,7155,575586948.662349,45363352.79903932238933560916,170213.36640612,13414.91326260514003945164901,49999.827743,3940.6032938517020790242843,1217876636.635792,95983704.39394004494422369702,0.0546116525597622,0.0643936252765917,0.0576657866109286
2019-06-10,8261,4320,4773892,1105.06759259,2650857250.74914417983031,0.186001535363146,0.01584777052392473337202442755,0.172257,0.014676703618655171766,586.462841,49.968020461934740725958,0,0,0,0,0,34.70561042,45.54125733835778,0.0000106592192159461,0.085202364018038,-50.63851954134613,9.78264826359135,31112484745,3153,7345,896468448.935946,76381231.11692638165825059395,231425.7423139,19718.0203397735675994581282,52852.071669,4503.121449449571184765422,1699822077.295567,144828859.3956344257506454375,0.0547612544766948,0.0627657965068669,0.05857225880576
2019-06-11,8719,4319,4916013,1138.22945126,2736292374.1107814363524825,0.196609546746447,0.01729148950490486212962737609,0.172433,0.0151652015842569559905,525.733928,46.237442936115664833348,0,0,0,0,0,44.21038471,45.49359995964777,0.0000111011112019255,0.0879483717400785,-50.6246679286627,25.582832713817368,31112484745,2674,6323,703737028.05096,61892525.75028388110057240036,217619.17631146,19139.25221600996920748084961,74106.877246,6517.579188527572817903811,1376006051.817378,121017491.7618324794111653842,0.0547308078068468,0.0626425363072211,0.0587122707410941
2019-06-12,12613,4320,6057815,1402.27199074,2986069041.010903151372791,0.217249093645485,0.02085081914991426017277757512,0.172433,0.0165495249630096062294,844.447227,81.0471340357167105761586,0,0,0,0,0,26.09227171,45.07580168064053,0.0000117809532437171,0.0959765529974518,-40.676959543325026,31.774896167012162,31112484745,3887,9215,1192402297.793534,114442662.3284644194730645167,240769.4745393,23108.22423328974825787895574,99163.735346,9517.3935008606533075913228,2218690707.87964,212942286.3097641184191011014,0.0550607110961641,0.0595857675616195,0.0597637822306853
2019-06-13,9641,4320,4999257,1157.23541667,2794290919.4754051412810885,0.188742384710234,0.01695143078537620067650898105,0.172433,0.0154866437080482860909,612.280296,54.9904414677604761851208,0,0,0,0,0,41.26941905,45.06257729826907,0.0000109091409456205,0.0898125283910173,-43.161678496324704,7.57150584732306,31112484745,3244,8136,753887150.908212,67708511.14456693393275760407,220194.60762747,19776.23444909106389321272523,52262.334437,4693.8123954039036392527601,1791503327.657061,160899443.4778017595816873182,0.055297495114175,0.0567261135379335,0.0602842444046197
2019-06-14,10048,4320,4921864,1139.32037037,2811250730.1193906980997825,0.193880208133971,0.01751855826172540578760116406,0.172433,0.0155806391266959188105,567.293489,51.2593014738086144999465,0,0,0,0,0,61.55256187,45.18941761284723,0.0000103883181275758,0.0903576410936185,-46.86474215887276,-3.9791275691709136,31112484745,2926,9045,505462060.402292,45672359.4402712160149439736,297519.25894887,26883.1384185413395595747861,59138.530972,5343.618156371817613802182,2691061697.192545,243157986.9957078484849652741,0.0547224355374612,0.0551044867329612,0.0602525821202226
2019-06-15,9305,4320,4877120,1128.96296296,2853914673.0140892147427345,0.19327303885918,0.01772872742306059901602397256,0.172433,0.0158170931330363741273,542.130874,49.7290804216849894128394,0,0,0,0,0,73.50554438,45.28128550434564,0.000010364165021477,0.0917289215697481,-43.09646403519262,4.734848807112705,31112484745,2805,8154,423267183.573795,38825842.28508881285871591104,276842.03891169,25394.42167453956365655144529,61608.827743,5651.3113280417678528015383,2257369985.285909,207066114.3341945691878636095,0.0545409322397771,0.0539525196812591,0.0602717274546542
