date,AdrActCnt,BlkCnt,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-11-01,43684,172654,0.00082515166555671,5.24873868834872,,-6.681369953171901,4690299,1399475,15822593.5943995,83048659.14894329061609499364,12.33104979,64.7224581007273592027688,0.5,2.62436934417436,17256995.8994,90577462.021855995597238768,,0.0335801549197997,0.0474140838288929
2018-11-02,42014,172394,0.000838796691992987,5.33188345096572,,-4.642840390008813,4898804,1478280,24035743.5521997,128155783.2776295897881952943,16.38635184,87.3701181973976756989248,1,5.33188345096572,24223616.2019,129157498.349455699193498868,,0.0331793483738399,0.0474787326372265
2018-11-03,46973,172521,0.000833761909264849,5.28985836360007,,-8.227967055121042,4328081,1335734,13976228.3292999,73932268.31933130928362669099,10.65266898,56.3511100985160268148286,0.9261,4.898937830530024827,14229132.1429,75270093.672890151397690003,,0.0331684868631825,0.039727122776603
2018-11-04,81692,172443,0.000855086971189273,5.5096048330913,,-4.78270533943186,3996033,1231884,25411647.6447945,140008136.6805729279217882378,20.96440151,115.505567882362547687863,1,5.5096048330913,25825710.7947,142289461.01249727818065611,,0.0340641755202738,0.0399978093381143
2018-11-05,32934,172047,0.000849498894799402,5.44210871272069,,-4.587538103159194,4395419,1149210,21899027.5885001,119176888.8394871554156273371,19.55012784,106.3939210528673237130096,1,5.44210871272069,22467202.4192,122268958.035987684181893248,,0.034108920040958,0.0398023817268234
2018-11-06,30044,172050,0.000885101681512724,5.71724702977787,,-0.1838037688272849,4240665,1182315,60318699.1055999,344856903.3015560920109700942,51.61138702,295.0750491428111132012474,1,5.71724702977787,61020917.0449,348871656.729276325343816363,,0.0349975739735228,0.0393853078300935
2018-11-07,30158,171945,0.00086351218469578,5.62252366811563,,-4.529110490626273,4047880,1077001,27536309.1139998,154823549.7260120090701181969,26.08521871,146.6647595849476621194373,1,5.62252366811563,28093806.6343,157958092.728815657473524109,,0.0351177505776068,0.0391128188724184
2018-11-08,26256,171314,0.000853112102850797,5.48053624035703,,-6.921534862262489,4527130,1180789,29084536.6757996,159398857.2857128909068647312,25.03874737,137.2257623744292727735111,1,5.48053624035703,29565477.4626,162034670.697238307042472078,,0.0353948467459482,0.0392399780191174
2018-11-09,94466,169748,0.000841858157486082,5.34045541299943,,-8.813743093145385,7101135,1995188,24694355.185098,131879102.8187871552530184941,12.56094476,67.0811654359288261414868,1,5.34045541299943,25061446.2568,133839536.319721863034033624,,0.0236932994145452,0.0393710639649215
2018-11-10,46480,171366,0.000844340524837064,5.38876309384659,,6.025044704062977,7305228,1947579,21742125.1104991,117163161.3772527625870137331,11.31795768,60.9897926437015740323112,1,5.38876309384659,22042616.6956,118782439.341055954359128004,,0.023658345238147,0.039369800905811
2018-11-11,31069,171693,0.000844436179877111,5.37844920466891,,4.593845974536341,7995091,2090137,23566293.4669994,126750112.3545770525614881687,11.4272565,61.460918633972632145415,1,5.37844920466891,23884531.6295,128461740.146573699970288845,,0.0235804448293629,0.0371574579520946
