date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2017-11-27,11,0,12757.59810615,55.549956596984906,181043076.000076,9,9,14191.0001,1576.77778888889,444,14191.0001
2017-11-28,14,0,4250.48529602,55.54189124435636,181043076.000076,15,15,42593.507186,2839.56714573333,2523.140201,42593.507186
2017-11-29,5,0,31886.12768192,55.540816293445985,181043076.000076,4,4,5677.800635,1419.45015875,1307.3503175,5677.800635
2017-11-30,9,0,11894.28820734,55.53793477756484,181043076.000076,36,36,15221.009685,425.583602361111,83.000635,15321.009685
2017-12-01,8,0,17623.21154796,84.2526234803758,181043076.000076,5,5,10272.99,2054.598,75,10272.99
2017-12-02,17,0,56913.8874568,84.25123768546437,181043076.000076,15,15,3181,212.066666666667,1,3181
2017-12-03,8,0,6903.43257738,84.23981452981442,181043076.000076,7,7,26225.080635,3746.44009071429,1342.3,26225.080635
2017-12-04,9,0,6720.93085896,84.22808441160784,181043076.000076,10,10,26937.202569,2693.7202569,636.5,26937.202569
2017-12-05,8,0,110797.47613224,84.22737297238977,181043076.000076,4,4,1634,408.5,344.5,1634
2017-12-06,18,0,5174.57436512,174.2916901401826,181043076.000076,13,13,34987.0469,2691.3113,49.9,34987.0469
2017-12-07,17,0,5329.57040969,195.9208779984236,181043076.000076,13,13,33969.5439,2613.04183846154,2000,33969.5439
2017-12-08,0,0,,196.02843914783006,181043076.000076,0,0,0,,,0
2017-12-09,4,0,2175981.90206212,256.5419604793957,181043076.000076,2,2,83.200635,41.6003175,41.6003175,83.200635
2017-12-10,13,0,3538.88399213,264.20415678088824,181043076.000076,13,13,51158.23983,3935.24921769231,3202.9,51158.23983
2017-12-11,15,0,7747.28428579,268.6226124008631,181043076.000076,11,11,23368.5856,2124.41687272727,2383,23368.5856
2017-12-12,15,0,24035.8272187,270.9818828453288,181043076.000076,11,11,7532.2174,684.747036363636,95.9,7532.2174
2017-12-13,18,0,16867.49795959,270.97127991346434,181043076.000076,14,14,10733.250209,766.660729214286,100.5,10733.250209
2017-12-14,6,0,40107.01727959,270.9794337122256,181043076.000076,3,3,4514,1504.66666666667,197,4514
2017-12-15,4,0,496404.70523364,275.9324202899181,181043076.000076,2,2,364.708622,182.354311,182.354311,364.708622
2017-12-16,33,0,14969.77744819,290.2367417166677,181043076.000076,30,30,12093.905646,403.1301882,190.605263,12093.905646
2017-12-17,6,0,2328.56933942,295.16290833709166,181043076.000076,4,4,77748.63,19437.1575,19676.815,77748.63
2017-12-18,9,0,35174.48533128,301.60626209353813,181043076.000076,8,8,5147,643.375,800,5147
2017-12-19,20,0,11494.70019833,305.1963843748993,181043076.000076,15,15,15750.13466,1050.00897733333,525,15750.13466
2017-12-20,17,0,335.19616281,304.63712668263554,181043076.000076,17,17,540110.8249,31771.2249941176,50,540110.8249
2017-12-21,57,0,18673.64172684,304.71330589153297,181043076.000076,53,53,9695.1135,182.926669811321,0.1,9695.1135
2017-12-22,18,0,180.7016548,299.6444873378414,181043076.000076,16,16,1001889.419309,62618.0887068125,65.5,1001889.419309
2017-12-23,24,0,5013.0727968,300.4193510888715,181043076.000076,26,26,36114.1925,1389.00740384615,800,36114.1925
2017-12-24,16,0,11321.35998541,315.3174699673997,181043076.000076,11,11,15991.2834,1453.75303636364,47.99,15991.2834
2017-12-25,2709,0,4289.57857768,315.3832957869943,181043076.000076,3628,3628,42205.3292,11.6332219404631,1,42205.3292
2017-12-26,500,0,2405.92260253,315.04540155062745,181043076.000076,518,518,75248.9194,145.268184169884,1,75248.9194
2017-12-27,18,0,6104.77367757,315.2206333157478,181043076.000076,15,15,29655.9849,1977.06566,266.148,29655.9849
2017-12-28,17,0,5907.51439911,315.1249567863088,181043076.000076,15,15,30646.235247,2043.0823498,83,30646.235247
2017-12-29,32,0,1436.3111836,315.53497300159296,181043076.000076,28,28,126047.25081,4501.68752892857,110.4,126047.25081
2017-12-30,14,0,12906.31208883,315.5764877634081,181043076.000076,11,11,14027.4832,1275.22574545455,885.1,14027.4832
2017-12-31,14,0,33275.0034798,315.82281994791157,181043076.000076,14,14,5440.813135,388.629509642857,122.4251,5440.813135
2018-01-01,16,0,7283.67407376,315.978437087222,181043076.000076,12,12,24856.010053,2071.33417108333,211.538709,24856.010053
2018-01-02,38,0,3408.95185059,316.010585257371,181043076.000076,31,31,53108.135267,1713.16565377419,227.99999,53108.135267
2018-01-03,34,0,5475.52079219,316.5230419344734,181043076.000076,25,25,33064.083376,1322.56333504,403.7,33064.083376
2018-01-04,27,0,5514.14111394,324.8578270843546,181043076.000076,20,20,32832.506869,1641.62534345,229.121185,32832.506869
2018-01-05,28,0,9504.14359236,332.0127271568826,181043076.000076,24,24,19048.8574,793.702391666667,206.70915,19048.8574
2018-01-06,38,0,2647.05316451,340.7702073068206,181043076.000076,42,42,68394.19715,1628.43326547619,161.9006,68394.19715
2018-01-07,66,0,3748.07370741,344.28638741801404,181043076.000076,83,83,48302.965772,581.963443036145,83.000635,48302.965772
2018-01-08,65,0,2984.61104544,344.1044357496745,181043076.000076,74,74,60658.850766,820.035821162162,97.64145,60682.650766
2018-01-09,37,0,34401.18914789,345.56303210214315,181043076.000076,32,32,5262.698194,164.4593185625,50.3887,5262.698194
2018-01-10,52,0,9364.77282017,345.53264992732704,181043076.000076,46,46,19332.351086,420.268501869565,77.57,19332.351086
2018-01-11,47,0,8227.10435736,345.45394859817725,181043076.000076,39,39,22005.6861,564.248361538461,44.5,22005.6861
2018-01-12,43,0,19877.68824366,345.4604462931113,181043076.000076,62,62,9107.853679,146.900865790323,9.5,9107.853679
2018-01-13,52,0,21550.01542443,352.77691128872965,181043076.000076,45,45,8401.064799,186.690328866667,21,8401.064799
2018-01-14,47,0,8393.65713096,358.15744303990766,181043076.000076,39,39,21569.033995,553.052153717949,50,21569.033995
2018-01-15,40,0,2129.59208974,357.6286836668941,181043076.000076,40,40,85013.0299,2125.3257475,113.79795,85013.0299
2018-01-16,159,0,3389.61810294,362.77301146214904,181043076.000076,159,159,53411.054137,335.918579477987,0.01,53411.054137
2018-01-17,89,0,7892.9398969,372.97587515938966,181043076.000076,90,90,22937.343799,254.859375544444,0.01,22937.343799
2018-01-18,160,0,48550.1322826,415.65784365468215,181043076.000076,162,162,3728.992435,23.0184718209877,0.01,3728.992435
2018-01-19,641,0,3074.5632324,421.6135395451071,181043076.000076,790,786,58884.160876,74.9162352111959,0.01,58884.160876
2018-01-20,2139,0,42659.31944793,421.75521967687325,181043076.000076,2303,2302,4243.9279,1.84358292788879,0.01,4243.9279
