date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-10-02,2719,18203,499554384.6464312098604471123,0.00210931332146721,0.00001053717158721184929357879014,0.000028,1.3987528616028716E-7,302.190773,1.50960788744190638508481,1988.17737247,528.7406117905363,0.00001341,0.00499554593429597,,11.362903436691452,99999958206.136319,143265,1487,50297302.238155,251262.4837018708024551967354,33939.3189227673,169.5454266574044657647296378,100,0.499554593429597,50467767.238155,252114.0494395605649812467354,,0.0840607222685246,
2014-10-03,1376,18246,504823349.5664950038199046072,0.00146601333640337,0.000007400780752681165974277911093,0.000038,1.9183295377914942E-7,401.118841,2.02494242330260487674269,1450.5089262,527.6136640021939,0.0000141138445864621,0.00504823562576709,,13.173842792428896,99999957805.017478,273612,1819,68941290.879879,348031.8807061769383104213821,39978.7717866405,201.8222600077307872176265611,51.512998,0.26004975169366885563582,72721385.879899,367114.6909540619510964867239,,0.0823557285510078,
2014-10-04,1874,17929,486333613.7480798080866176104,0.00133210779780432,0.000006478490756400310596834885158,0.000038,1.8480685207983056E-7,474.193077,2.30616131153733428644824,1459.6622168,526.5004357541754,0.00001479,0.00486333821262712,,-0.5534478495897921,99999957330.824401,355972,1129,68508971.582533,333182.299405118196909834095,60792.760480543,295.6557550961126103616741262,1000,4.86333821262712,68635026.582533,333795.347503510908521434095,,0.0825742879290084,
2014-10-05,18811,16603,617500630.2103758515027795842,0.0134745032950983,0.00008320518141520287253335118016,0.000058,3.581505318891653E-7,3782.562565,23.35735852687578263581025,6204.87250223,530.3675967761154,0.0000191279479836353,0.00617500917050285,,23.78163322902887,99999953548.261836,280720,660,16116359.121374,99518.6653696017041837629159,24554.2957899606,151.6230016782462265766836877,1000,6.17500917050285,16205835.221374,100071.1811076425342406479159,,0.0938131440006843,
2014-10-06,7137,17237,635959360.2787654295949272677,0.0156435073993004,0.00009948639876691732019512490264,0.0005,0.000003179798373457045,2987.346747,18.99832065412558904996523,870.2237336,530.4086339200903,0.00001946,0.00635959674691409,,26.07441906337885,99999950560.915089,190964,1271,114912920.321118,730799.8342525800592183587526,90634.9491118159,576.401727528228488424681196,70,0.4451717722839863,115197020.321118,732606.5956883783521873587526,,0.0938595546036725,
2014-10-07,1247,17928,471334590.1230949308179656787,0.0153869771237272,0.00007252418309376480411506730442,0.012,0.00005656018008782004,2316.494019,10.91844324058316811736173,2070.49280067,537.9785597966858,0.00001413,0.00471334834065167,,-5.843253747031304,99999948244.42107,150549,1140,48297655.616994,227643.67495972447892588648,43768.3041552579,206.2952637633224160057429157,60,0.2828009004391002,49895866.736994,235176.60069018752596645688,,0.109550872092679,
2014-10-08,1643,18209,506579086.5242978529723015304,0.0118216333568182,0.00005988595491346706193756186769,0.012,0.00006078952351767276,2751.768883,13.93989326902738346206059,965.81046509,542.1451234413242,0.0000142937042665108,0.00506579362647273,,6.2141445212351645,99999945492.652187,232774,1739,103539927.457519,524511.9045997485658808869569,59583.8294752841,301.8393835967321820269976526,25,0.12664484066181825,103616279.457519,524898.6880747170117618469569,,0.11018117612463,
2014-10-09,1516,17996,559386862.703621751305577763,0.0121140332115698,0.00006776434861172719410929912657,0.012,0.00006712646144672004,1986.447052,11.11193012100238987727684,928.21659501,551.4404069043281,0.0000154647989479836,0.00559387178722667,,21.116275808333356,99999943506.205135,163979,1251,107733414.855186,602646.9099000115891826070106,87980.7137131783,492.1528322602146908479882253,100,0.559387178722667,110063872.855186,615683.1931575282800974670106,,0.110725834101857,
2014-10-10,1539,18324,472299479.3475268346202305567,0.00928953546745447,0.00004387445318895888436770004,0.01,0.0000472299754306029,1723.153092,8.13844781983274185591668,308.06584069,541.7120013693343,0.00001316,0.00472299754306029,,-5.557648436623662,99999941783.052043,185494,1005,324605745.185584,1533112.136974767791397350859,324798.462871208,1534.02234213047420876844913,77,0.36367081081564233,326422455.185564,1541692.453841126390892389654,,0.114650659433292,
2014-10-11,2377,18786,513940337.3942412285148614556,0.00504161200528645,0.00002591089307282147941616665513,0.0002,0.000001027881282639452,919.353074,4.72492908450821514937724,324.50251628,532.7671013371536,0.000014212001107578,0.00513940641319726,,9.734545707831963,99999940863.698969,182353,880,308163838.014458,1583779.205406987030605885985,354733.952289157,1823.12194937370433559240011,20.01,0.1028395223280771726,312165878.014458,1604347.315448858993016285985,,0.114344631448962,
2014-10-12,1180,18940,500646310.6795453388677511945,0.0137816007518895,0.00006899711797110163748287383033,0.012,0.00006007759407336648,2104.202366,10.53461796606377706675764,1315.19718281,532.8200496299081,0.00001325,0.00500646617278054,,16.87173507683203,99999938759.496603,152682,860,76034179.563692,380662.5479607454359436681537,88598.1064694093,443.563423011506379295832335,37.949322,0.18999199687295634779388,76194371.563692,381464.5437898954962073481537,,0.114478914275819,
2014-10-13,1212,18580,480047803.5049565843723320695,0.0133948310822574,0.00006430163365216583339056353608,0.012,0.00005760577338284364,2923.636201,14.03486037072365818555097,1887.77892969,535.8994282660113,0.0000122463062099613,0.00480048111523697,,10.105001735565338,99999935835.860402,218266,1883,52972270.356083,254292.3834756036057788259885,28204.1847350414,135.3936561912210650998237606,383.570196,1.84132148226574316934612,53108479.856083,254946.2546080694758440409885,,0.112866866723111,0.138291289659626
2014-10-14,1565,18409,497254454.7995042833955284965,0.0169848910552907,0.00008445818402624807489321896806,0.012,0.00005967057457217412,2864.264088,14.24269032145035799991688,1694.45054431,536.6489130945693,0.0000124040646841537,0.00497254788101451,,1.9067283171729996,99999932971.596314,168636,1093,59016141.431401,293460.5890203656736234506285,63754.7604129744,317.0235987961236192008386585,33,0.16409408007347883,69683953.131381,346506.7934841630203135973383,,0.113058384141131,0.138378941607277
2014-10-15,1475,17756,465507455.9200554411838921029,0.0118326309913313,0.00005508181738275789878996568002,0.011,0.0000512058553718294,1754.010055,8.165053199733139213147,2186.0947795,544.4894544008962,0.0000117997783169195,0.0046550777610754,,-5.135939689129699,99999931217.586259,148235,1176,45743639.368025,212940.198332746342400374085,40584.0744880995,188.9220226033794808216222023,20,0.093101555221508,47726871.598005,222172.298581574213585294577,,0.113725393147305,0.127493304442188
