date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2018-07-07,39,0,1095.19344123,512.661031935567,39609523.80952380954,36,36,36166.69194534,1593.02675849945,75.076326575,57348.963305980050469295
2018-07-08,43,0,4167.22751384,520.2621955888804,39609523.80952380954,39,39,9505.00630885975,331.737858902045,89.96688055,12937.776497179746927166
2018-07-09,67,0,1921.6785398,524.8892450964605,39609523.80952380954,63,63,20611.9405452849,388.888144912458,45.15652516,24499.953129484881294049
2018-07-10,50,0,3336.16095655,532.7746147555827,39609523.80952380954,45,44,11872.7856135862,337.393972251276,74.40846049,14845.334779056157995904
2018-07-11,72,0,780.70738726,529.7219473991231,39609523.80952380954,75,80,50735.4284793039,1081.82227404334,207.5009836,86545.781923467214927971
2018-07-12,48,0,358.3772875,528.4035395666116,39609523.80952380954,56,56,110524.648718213,2164.5160599156,195.589049915,121212.899355273437962517
2018-07-13,46,0,227.2707087,517.4581567466569,39609523.80952380954,37,42,174283.452698823,4165.60304388349,48.7,174955.327843106420075028
2018-07-14,26,0,18108.27213411,523.4603020118074,39609523.80952380954,21,21,2187.37179981535,116.05793387835,100.76552151,2437.216611445349656323
2018-07-15,31,0,9019.98362538,525.6489083790889,39609523.80952380954,27,27,4391.30772899315,238.400161716783,130,6436.804366353150753602
2018-07-16,44,0,21423.74135,529.2941224491587,39609523.80952380954,33,35,1848.86118453471,68.1414506772773,23,2384.950773704705744392
2018-07-17,102,0,1402.00499483,542.5250389287803,39609523.80952380954,106,110,28252.0561308344,489.40448652744,55.5589,53834.493518018453796046
2018-07-18,84,0,688.76883328,542.143693647739,39609523.80952380954,77,81,57507.7179681089,743.554346985356,46.07132899,60227.902105813815073783
2018-07-19,56,0,1530.52444425,545.4192532821468,39609523.80952380954,63,63,25879.70676209,587.890505076032,111.49337016,37037.10181979
2018-07-20,55,0,3727.94694613,547.7680695115617,39609523.80952380954,44,44,10625.0234732234,268.923080329508,59.14503727,11832.615534498357797804
2018-07-21,40,0,16426.98112148,550.9665809575692,39609523.80952380954,36,36,2411.24790468769,89.225707257158,65.793575785,3212.125461257689334568
2018-07-22,58,0,1601.83613736,551.1908446383123,39609523.80952380954,61,61,24727.5753653572,538.231884189954,123.76307436,32832.144935587225697446
2018-07-23,75,0,817.47167613,550.7244791722163,39609523.80952380954,87,87,48453.6956642349,963.771724758411,213.1366061,83848.140053981800442877
2018-07-24,65,0,678.33723229,549.0305209243085,39609523.80952380954,65,65,58392.0827640082,995.749242133144,179.64071856,64723.700738654352193791
2018-07-25,77,0,1187.9941364,605.2686515068517,39609523.80952380954,101,101,33341.5145712881,450.091821332258,186.01199716,45459.273954558078276923
2018-07-26,79,0,1308.87863226,615.2855206545224,39609523.80952380954,77,80,30262.1823241435,444.915001675675,148.898483345,35593.20013405397225861
2018-07-27,57,0,1415.22641673,616.3433199836403,39609523.80952380954,53,54,27988.1179021236,538.333888815012,57.743438165,29070.029996010637626933
2018-07-28,65,0,253.42417654,602.5137870277782,39609523.80952380954,63,63,156297.336546037,2528.43718021201,59.00095337,159291.542353356594788605
2018-07-29,77,0,2891.72795763,614.9307385845203,39609523.80952380954,76,76,13697.5277031405,309.230138864956,83.56093812,23501.490553736638232753
2018-07-30,54,0,3805.8529352,625.538796425336,39609523.80952380954,46,46,10407.5287416225,252.70362201962,44.01731476,11624.366612902515332985
2018-07-31,56,0,2792.36980403,626.529636546908,39609523.80952380954,45,45,14184.9133851883,468.905299742852,113.7,21100.738488428349655484
2018-08-01,60,0,1508.61696666,631.2067500580855,39609523.80952380954,55,55,26255.5205760478,770.362094591051,274.75818752,42369.915202507797963065
2018-08-02,45,0,1757.7882033,635.3894688050661,39609523.80952380954,39,41,22533.7294534072,562.232550385542,79.89600587,23051.534565807234171213
2018-08-03,40,0,9274.17463426,637.8679003556807,39609523.80952380954,38,38,4270.94866892159,170.598222279252,93.6396040812271,6482.732446611590765472
2018-08-04,44,0,1782.23666533,652.9583007627341,39609523.80952380954,53,53,22224.6150470109,511.7207370753,165.23039147,27121.199064990889211812
2018-08-05,38,0,8736.98706827,685.8558990158975,39609523.80952380954,34,36,4533.5449738,213.815051514167,34.30834116,7697.341854509999866883
2018-08-06,51,0,1785.70383481,689.3334149139343,39609523.80952380954,44,44,22181.46315053,873.965157468864,125.05187356,38454.46692863
2018-08-07,54,0,675.2182118,683.9533699274688,39609523.80952380954,53,52,58661.8120151189,1796.12089768036,59.14810096,93398.286679378931625597
2018-08-08,43,0,835.31038865,682.3636089783954,39609523.80952380954,37,36,47418.9287573117,1519.34171484767,178.95,54696.301734516295271264
2018-08-09,52,0,813.47059203,693.9111845781705,39609523.80952380954,44,44,48692.0168934171,1812.31508903792,46.1078270506134,79741.863917668287871097
2018-08-10,65,0,1393.63357295,691.7645311787297,39609523.80952380954,65,65,28421.763495363,528.765261944359,63.8984423345274,34369.742026383316380488
2018-08-11,54,0,2949.09757732,700.0157685177516,39609523.80952380954,49,49,13431.0658671006,373.123970200227,73.99799436,18283.074539811120221804
2018-08-12,31,0,8511.28816718,706.7729634234144,39609523.80952380954,26,26,4653.76368788123,247.615882237355,179.594603055,6438.012938171226792497
2018-08-13,57,0,1096.02843579,705.1980902905741,39609523.80952380954,56,58,36139.1388363419,864.528411281614,105.2,50142.647854333596695728
2018-08-14,72,0,716.61628862,699.9727474807729,39609523.80952380954,77,79,55272.988401855,987.675013722595,186.08291194,78026.326084085008980727
2018-08-15,65,0,814.79913333,701.6832952766131,39609523.80952380954,60,60,48612.6238836921,1198.03270878422,154.532952305,71881.962527053309848953
2018-08-16,44,0,773.13887748,697.0914261254214,39609523.80952380954,62,62,51232.094211305,1220.57473367669,367.013222345,75675.633487954957269911
2018-08-17,53,0,354.065681,684.0896391816086,39609523.80952380954,49,49,111870.553785821,4081.22197291085,100,199979.876672631674462215
2018-08-18,43,0,2519.11918853,688.3527561812782,39609523.80952380954,34,34,15723.560834229,485.603843991148,91.448136765,16510.53069569904193043
2018-08-19,59,0,640.06113028,682.1457353012338,39609523.80952380954,61,61,61883.970039162,1166.00483044137,174.70324201,71126.29465692371160169
2018-08-20,52,0,1041.80142495,1034.1884625810826,39609523.80952380954,41,42,38020.2242585666,933.986206143491,120.35,39227.420658026632574813
2018-08-21,53,0,527.09300274,1079.4049821409665,39609523.80952380954,64,64,75147.1250877321,1391.51322038907,207.87826318,89056.846104900412586981
2018-08-22,41,0,183.48284096,1045.6623651801422,39609523.80952380954,34,34,215875.902090494,6518.49922376778,176.466023955,221628.973608104483754398
2018-08-23,30,0,5314.56445107,1047.8878960251914,39609523.80952380954,27,27,7453.01410383064,286.041578784468,100,7723.122627180642571483
2018-08-24,43,0,488.45529037,1027.5329731287795,39609523.80952380954,45,47,81091.400975179,2124.39334317068,128,99846.487129021798159113
2018-08-25,55,0,2069.19369781,1050.5417153438082,39609523.80952380954,47,47,19142.4920013473,596.98780502973,207.64927154,28058.426836397311727024
2018-08-26,34,0,8751.62176223,1056.3738957507733,39609523.80952380954,35,35,4525.96385969123,159.457731950892,131.85783078,5581.02061828122582807
2018-08-27,30,0,10297.58333375,1066.1484668159894,39609523.80952380954,25,25,3846.48732870275,197.98187130091,140.952805782861,4949.546782522752594252
2018-08-28,31,0,4795.44858212,1071.5840258022583,39609523.80952380954,24,24,8259.81618429603,389.185291814228,100.48356285,9340.447003541474472909
2018-08-29,41,0,1281.89273678,1074.3541464586515,39609523.80952380954,34,37,30899.2497366818,1415.67872211518,233.57109456,52380.112718261755419856
2018-08-30,49,0,7007.56056076,1079.743354422434,39609523.80952380954,42,42,5652.398358324,147.836283806524,54.249296365,6209.123919874000002048
2018-08-31,34,0,2169.32873764,1077.7518044571773,39609523.80952380954,35,35,18258.8849362854,760.816644350725,65.6814,26628.582552275376396942
2018-09-01,47,0,6240.58579345,1080.2152686336156,39609523.80952380954,42,42,6347.08425146906,159.712645603073,68.934,6707.931115329064701113
2018-09-02,55,0,3535.72000128,1079.40790790056,39609523.80952380954,54,54,11202.6754933008,307.89389681744,59.74620244,16626.270428141759500501
2018-09-03,50,0,902.8862859,1068.6303054111193,39609523.80952380954,44,45,43869.8919542397,1010.16019265044,95.84987001,45457.208669269706579976
2018-09-04,55,0,6527.44353339,1070.6658443285062,39609523.80952380954,49,49,6068.15265530702,143.828846800143,45.54909062,7047.613493207019958232
2018-09-05,84,0,840.36770246,1069.4489257927444,39609523.80952380954,69,71,47133.5627175156,732.846213013374,77.14479736,52032.08112394952451703
2018-09-06,55,0,3754.77241887,1078.0126721877432,39609523.80952380954,51,51,10549.1144045043,393.080947069342,90,20047.128300536460014914
2018-09-07,46,0,540.76165837,1058.0957229719218,39609523.80952380954,37,37,73247.6557762908,1982.34595138246,60.83344236,73346.800201150844152954
2018-09-08,40,0,1107.81000198,1059.7239246147174,39609523.80952380954,38,53,35754.7988721995,1278.08709268678,40.4865057,67738.615912399505339204
2018-09-09,49,0,887.19171873,1050.9770154531438,39609523.80952380954,63,63,44645.9575457328,1014.46486356528,223.50937009,63911.286404612832561094
2018-09-10,41,0,1151.64411328,1072.366675069603,39609523.80952380954,40,39,34393.8924819585,1165.27849110996,148.81776892,45445.861153288465963925
2018-09-11,41,0,4052.00572589,1086.088705957369,39609523.80952380954,37,37,9775.28821256179,335.264647999238,148.88138634,12404.791975971793272375
2018-09-12,60,0,1128.02336824,1078.6974674036198,39609523.80952380954,68,68,35114.0986302614,750.39960152855,273.96776338,51027.172903941422546596
2018-09-13,46,0,7846.02009213,1087.8172476494608,39609523.80952380954,38,40,5048.35870217344,142.5094282641,81.596361425288,5700.377130564012128948
2018-09-14,42,0,2273.10254158,1103.5070536818457,39609523.80952380954,44,44,17425.313238209,414.170417052239,118.649807234093,18223.498350298538794701
2018-09-15,42,0,2906.39041265,1102.9685210377554,39609523.80952380954,43,44,13628.425017189,381.974566258842,106.24824816,16806.880915389030615282
2018-09-16,41,0,3338.05191459,1108.826924509675,39609523.80952380954,43,42,11866.0598525837,420.445936090801,143.621590920186,17658.729315813655478706
2018-09-17,32,0,3213.57302516,1125.9317456484684,39609523.80952380954,24,24,12325.6958841087,516.6106456896,91.47980622,12398.655496550389962263
2018-09-18,41,0,2773.44549278,1127.3744645613872,39609523.80952380954,35,35,14281.7026376001,734.017043870575,68.37179199,25690.59653547012872234
2018-09-19,22,0,12758.16834086,1132.5574695288756,39609523.80952380954,16,16,3104.64031758246,238.649399685779,61.2022939912284,3818.390394972456876001
2018-09-20,52,0,6619.64802356,1153.5387761895445,39609523.80952380954,47,47,5983.62989520612,182.792840367577,63.05483871,8591.263497276117429737
2018-09-21,62,0,6004.92249678,1154.6290425823754,39609523.80952380954,49,67,6596.17569264824,141.992023205897,60.81893204,9513.4655547950728602
2018-09-22,60,0,991.71920994,1150.3615294797355,39609523.80952380954,71,71,39940.2607235689,632.697198092905,195.15669914,44921.501064596259169592
2018-09-23,61,0,665.84553197,1173.693451785901,39609523.80952380954,80,84,59487.5566597113,902.736588030943,187.77777265,75829.873394599232666585
2018-09-24,51,0,1535.42711687,1168.3437037358499,39609523.80952380954,62,62,25797.0719511142,483.768903130875,123.792592705,29993.671994114239311902
2018-09-25,45,0,636.27707417,1192.3406348205974,39609523.80952380954,49,48,62252.0053254643,1876.29376446842,173.02500256,90062.100694484312365096
2018-09-26,56,0,823.82144541,1182.638719532216,39609523.80952380954,53,53,48080.2290716269,1184.61017265749,98.7,62784.339150846938442126
2018-09-27,55,0,1033.04816136,1194.9582698927431,39609523.80952380954,78,78,38342.3786915724,698.20178681645,391.828,54459.739371683100409912
2018-09-28,63,0,1250.54687513,1183.4505528865095,39609523.80952380954,61,61,31673.7617734795,688.62638028491,214.7,42006.209197379512138617
2018-09-29,41,0,906.6646067,1167.7134382852223,39609523.80952380954,43,43,43687.0740480031,1220.61873298289,306.716477,52486.605518264210339824
2018-09-30,43,0,1374.95667395,1164.637878550101,39609523.80952380954,38,38,28807.8341375774,859.051719256248,187.702164025,32643.965331737414908024
2018-10-01,51,0,2472.09609028,1162.451483849102,39609523.80952380954,43,43,16022.6473255614,541.914239429335,111.501764442105,23302.31229546138570872
2018-10-02,35,0,3995.5401966,1159.4609476519336,39609523.80952380954,31,31,9913.43394397941,411.755510503852,100,12764.420825619406716305
2018-10-03,65,0,791.80425892,1157.425521470661,39609523.80952380954,60,60,50024.3884307499,938.964162952316,112.4,56337.849777138940188509
2018-10-04,59,0,588.36263935,1140.2233188254158,39609523.80952380954,67,68,67321.6162290541,1237.22810818035,175,84131.511356264110363014
2018-10-05,31,0,14937.19786139,1152.5787248967404,39609523.80952380954,23,23,2651.73723860864,121.682053857767,53.7664858586449,2798.687238728644864263
2018-10-06,38,0,12307.32683311,1154.9262004668456,39609523.80952380954,32,32,3218.36937839141,104.743942642856,43.4816,3351.80616457140601724
2018-10-07,34,0,2066.22476741,1155.4659811599315,39609523.80952380954,33,33,19169.9975889465,775.828192841794,89.37883779,25602.330363779210958864
2018-10-08,51,0,1036.18883641,1145.6797703694085,39609523.80952380954,76,76,38226.1634344746,557.192184141248,99.49523326,42346.605994734820084191
2018-10-09,37,0,728.48365463,1144.342139032087,39609523.80952380954,28,28,54372.5635543273,2019.59762347169,144,56548.733457207286651528
2018-10-10,35,0,1306.37474336,1174.5831328614086,39609523.80952380954,33,33,30320.1849322168,1661.64818848869,193.7,54834.390220126760010705
2018-10-11,41,0,2142.0487695,1238.1390968413596,39609523.80952380954,39,40,18491.4201644052,517.414569018183,119.803807762156,20696.582760727329588983
2018-10-12,43,0,788.20471552,1217.8089909309253,39609523.80952380954,38,38,50252.8379109592,1709.34927602972,408.50166667,64955.272489129207535793
2018-10-13,42,0,1273.55742026,1206.7974484592107,39609523.80952380954,48,48,31101.4824926134,971.153105539445,118.270134545,46615.349065893376308507
2018-10-14,64,0,1262.3459199,1194.8533501329389,39609523.80952380954,64,66,31377.7096951949,788.290836659468,215.965542395,52027.195219524872011351
2018-10-15,55,0,236.33721788,1141.537611182236,39609523.80952380954,85,85,167597.487032778,2318.55051519045,377.28149082,197076.793791188343426245
2018-10-16,46,0,919.08257218,1146.8298389533434,39609523.80952380954,47,47,43096.8065423224,958.813697600067,219.4022991,45064.24378720317217018
2018-10-17,43,0,1859.56402054,1148.5218081535272,39609523.80952380954,37,37,21300.4356785313,643.167136673818,50,23797.18405693125299143
2018-10-18,26,0,7906.47111293,1150.6033871223547,39609523.80952380954,24,24,5009.76013745816,250.011529210893,188.653578345,6000.276701061436070385
2018-10-19,53,0,103.07627819,1024.3510249371634,39609523.80952380954,50,50,384273.903792223,9593.98538778427,58.81984019,479699.269389213454009407
2018-10-20,55,0,493.35057427,1008.2544760972402,39609523.80952380954,53,55,80286.7694396374,2802.98317710632,134.25218993,154164.074740847363106667
2018-10-21,45,0,527.1796189,1000.7029167103578,39609523.80952380954,45,45,75134.7783370183,1811.74984886174,212.493772727897,81528.743198778339389792
2018-10-22,48,0,1164.27722622,1007.596258118943,39609523.80952380954,41,41,34020.6979210098,918.174760476825,133.97964222,37645.165179549826610785
2018-10-23,52,0,717.18391852,1001.4010894361168,39609523.80952380954,87,87,55229.241463539,865.769384672173,199,75321.936466479033614697
2018-10-24,34,0,7517.94967085,1008.4815473077589,39609523.80952380954,44,44,5268.6604119065,161.19708605583,100.202889595,7092.671786456500004096
2018-10-25,39,0,1393.40805552,1008.3565336543469,39609523.80952380954,37,37,28426.3634423179,1009.52678779751,108.7,37352.491148507854752748
