date,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-05,1426,24061439.917585801237806,3435763877.19004,0.00782685512367491,0.02724780792553257469709667912,0.008,0.0278505811031177256,19.935,69.4001667863314824795,85560,451.841691769465,297861.964897844075292,85560,297861.964897844075292,0.0006916683246495183,3.4813226378897157,,7.3483089491850135,6911580,2547,5373,,0.057056459396172286,0.06767906804802831
2019-04-06,1428,22697955.24396521166576,3341674054.90686,0.00781116053376466,0.02533811409020354628031917325,0.008,0.025950678115679808,19.317,62.661156145073356392,85680,446.934943106302,277931.76261893074368,85680,277931.76261893074368,0.0006430621114904,3.243834764459976,,4.391801794308447,6997260,2473,5173,,0.058673099532769314,0.0653384282705405
2019-04-07,1433,22646349.89154538473666,3051538192.62805,0.00774124203821656,0.02475009681905345105358974427,0.008,0.025577391014897572,19.446,62.172243209462273139,85980,443.055720263608,274893.00993261165507,85980,274893.00993261165507,0.0006161312194128401,3.1971738768621965,,1.5656364375483935,7083240,2512,5184,,0.05869064581298405,0.06355952186342406
2019-04-08,1435,21917965.78752256675281,3155043092.6216,0.00779219242902208,0.02382213803071109976685185732,0.008,0.024457443265374572,19.761,60.4129420458833646615,86100,438.34578915214,263223.23314359383115,86100,263223.23314359383115,0.000578636310929281,3.0571804081718215,,-4.187290607642543,7169340,2536,5310,,0.05927485140495554,0.06298680411574874
2019-04-09,1436,22078191.39938718345375,3001746911.81337,0.00779897785349233,0.02373197240286478912542272646,0.008,0.02434367461857866,18.312,55.72267120192655274,86160,433.442216249742,262181.3756420921682,86160,262181.3756420921682,0.000585682551724138,3.0429593273223325,,-4.142088123762548,7255500,2348,4957,,0.05846590242847838,0.05598394363513043
2019-04-10,1449,22553877.000115297791612,3086246648.97447,0.00789027951606174,0.02423668340521485230650619123,0.008,0.0245737133706128184,18.913,58.0953301223000292999,86940,432.187392746825,267054.830055134803962,86940,267054.830055134803962,0.0005782875751022795,3.0717141713266023,,1.9579467604301743,7342440,2397,5064,,0.057411024232679866,0.05250162425755615
2019-04-11,1421,21318702.62960818700901,3194935474.62632,0.00782468051118211,0.02245810102583329717023060642,0.008,0.0229612963685751304,19.593,56.2350849686865662409,85260,418.970879276223,244710.016048089452238,85260,244710.016048089452238,0.0005682739744005215,2.8701620460718913,,0.910062072193301,7427700,2504,5266,,0.05805362405923505,0.050696975537233534
2019-04-12,1433,21669790.64255373557208,3132191179.40684,0.00793303370786517,0.02287922557385462591197572741,0.008,0.023072359368569048,17.651,50.906276901826533281,85980,417.674162327914,247970.18231369584338,85980,247970.18231369584338,0.000567405773232028,2.884044921071131,,6.710749818255706,7513680,2225,4756,,0.05787339193640328,0.050503311807459504
2019-04-13,1440,21319102.78330956517392,3177436710.72153,0.00777597544936431,0.02181250984798706172754166308,0.008,0.022440924604277392,17.737,49.754334963258512738,86400,414.943000599994,242361.9857261958336,86400,242361.9857261958336,0.0005527549302944712,2.805115575534674,,6.073991904876901,7600080,2281,4738,,0.05811843000421853,0.05054196833706757
2019-04-14,1435,22972517.32966118957196,3344416812.87805,0.00772584373555247,0.02309106462524081634521861511,0.008,0.023910465099345776,16.711,49.945972784395907842,86100,408.870206006104,257336.3806317089142,86100,257336.3806317089142,0.0005795853621498397,2.988808137418222,,11.602139892482784,7686180,2163,4481,,0.059227420277232094,0.05112144032739855
2019-04-15,1437,22576802.50625173643304,3268064575.42798,0.0075391165513571,0.02189917470171413248028975121,0.008,0.0232379213692056368,28.332,82.2970985290417627272,86220,404.898100972673,250446.697556613750612,86220,250446.697556613750612,0.0005760061618936294,2.9047401711507046,,8.835559770424577,7772400,3758,7789,,0.05952896431665419,0.051176943237266306
2019-04-16,1430,22786420.7843669343282,3212534726.45245,0.00773359073359073,0.02242509132239944732154134276,0.008,0.023197598212686808,22.033,63.889085177516055083,85800,398.526380087043,248794.2408310660158,85800,248794.2408310660158,0.0005569958526952711,2.899699776585851,,8.742938328374006,7858200,2849,5978,,0.05929321749792985,0.05117229779160241
2019-04-17,1424,22708876.092053629350216,3205200601.15169,0.00779308836395451,0.02227848669268344297824544804,0.008,0.0228699952082960752,17.815,50.928620579474322461,85440,392.585766726589,244251.548824602083136,85440,244251.548824602083136,0.0005469875131502046,2.8587494010370094,,9.933473265615058,7943640,2286,4835,,0.05903463680367114,0.05106030688223895
2019-04-18,1451,23887778.8621747101957,3133396565.1723,0.00775829827021973,0.02307750425564415109497756366,0.008,0.023796459947127608,16.595,49.362781602822831845,87060,395.692778960738,258964.97537461619406,87060,258964.97537461619406,0.0005635230036924966,2.974557493390951,,17.92494790047102,8030700,2139,4422,,0.05907720414949218,0.05144841050915806
2019-04-19,1414,23314610.62050180456324,3319541804.90735,0.00765664160401002,0.02199627106245893490444232437,0.008,0.022982683218124048,18.33,52.65907292352672498,84840,381.571651424304,243731.35552820552904,84840,243731.35552820552904,0.0005430740820230015,2.872835402265506,,16.970489517528605,8115540,2394,4933,,0.0584995816672227,0.05155263026867065
