date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-26,14994,5764,5709034,990.463913948647,175621870.8974691051518440474,55802047.5138126,0.0536593794139639,0.001082099177724865584401576614,0.000226,0.00000455753340490886634,574.10170035,11.5773791024783416043578815,5079402.03232264,21.288625,102431.6125631522877874876085,5079402.03232264,102431.6125631522877874876085,104.42799211,62.09966112190643,0.00000833052367036821,0.02016607701287109,5930.72728382511,74.7994822136895,8708777160.0484145,10699,22222,83395045.5598952,1681750.91125273985208591151,4782.70403452743,96.448377890049426063875659,131.28035493,2.6474097477954308735359737,106281249.05526845,2143275.853472676340273425194,0.14807591132738093,0.17078504695333943,0.23272996284923608
2017-06-27,14139,5743,5467504,952.029253003657,179591169.312369104983747194,55176145.9927061,0.0485072453688923,0.0009997285765076076588647309859,0.000226,0.000004657833207647239622,498.36343892,10.27121139503917159409380924,5060896.23033118,21.198835,104304.471336696032630951495,5060896.23033118,104304.471336696032630951495,124.08941187,62.38611588992097,0.000008195331092928114,0.020609881449766547,5740.805696918025,53.05321900250881,8713838056.27874568,10274,21315,70222252.85107665,1447272.306396220665768300103,4031.90022330318,83.09698561956580800518020272,124.48870093,2.56569736800274248780178871,85939953.25970734,1771212.248481046399186504542,0.1480518980624139,0.16912312567857313,0.2326551880101534
2017-06-28,14116,5816,5451903,937.397352132049,188436350.8969884051170455253,65052739.7037337,0.0379269624511408,0.000819686718888825926403160675,0.000226,0.000004884366859263272576,393.94735898,8.51408594909824592843832448,5125225.92296816,21.455795,110767.6267450561904758019692,5125225.92296816,110767.6267450561904758019692,133.36571911,62.41711239188144,0.000008460335184102864,0.021612242740102976,6152.870489364601,39.79862039432892,8718963282.20171384,10387,21442,65376345.13967066,1412929.440619313702093111126,4012.55267486717,86.7202624166787719210929217,119.24698203,2.57719472165705753942152128,86037154.45450178,1859455.866738424517139183975,0.14803276144438426,0.16860704846472827,0.2325946427733161
2017-06-29,13245,5754,5450199,947.201772679875,170240659.9828024561725710309,55720565.3605729,0.0485310664690462,0.0009470344689887648645190689518,0.000226,0.000004410160451099340336,481.33111724,9.39268786343056579714104864,5070589.74566004,21.21453,98947.40867283084685013302175,5070589.74566004,98947.40867283084685013302175,245.03679251,62.99250275957411,0.000007753455873758036,0.019513984296899736,4740.029818803848,15.49295507660427,8724033871.94737388,9918,20611,35602954.89729566,694755.5027890570623364285679,2231.66844845529,43.5487430590431269612652088,116.517406775,2.2737188461228289109021114,45996918.39111203,897583.1431899388227622264534,0.14833600831009094,0.16957124291640147,0.2328607670187745
2017-06-30,12159,5752,5416770,941.719401947149,157519950.2905058009544455253,55296677.2805811,0.048391248418928,0.000873240432331783917560748813,0.000226,0.00000407826506145251182,431.5531534,7.787558175534850709167138,5047791.26733064,21.106855,91089.51665070639407136696658,5047791.26733064,91089.51665070639407136696658,150.11056197,62.940173700959974,0.0000073781127995324365,0.01804542062589607,4857.239200199038,0.997568956551846,8729081663.21470452,8918,18641,58151015.81390274,1049359.540185009046880376328,4220.71522245089,76.164581531248809744987819,124.17857543,2.2408546263589129398355601,78678352.46170704,1419783.964324009053614061827,0.14851184672187423,0.16716498925205509,0.23314061765690847
2017-07-01,12072,5743,4985711,868.13703639213,144421089.9316636020257991462,59363801.1832929,0.0493972296793722,0.0008168000274652465820743646041,0.000226,0.0000037369870214448797,440.62328874,7.285856244989999115255153,5004416.62837462,20.91377,82749.73446964114439873155944,5004416.62837462,82749.73446964114439873155944,144.3991824,62.865762089494424,0.0000069154567504383405,0.01653534080285345,4752.649188893348,-21.76406266112249,8734086079.84307914,8920,18551,60485703.13716949,1000151.715073319594128948281,4319.98693548835,71.43245624217434840074923231,123.81879938,2.047386045548439457090861,80140077.64024447,1325143.495748577811307931583,0.14864796450098564,0.14637228198593408,0.23381337775199287
2017-07-02,12714,5784,5171294,894.068810511757,151267492.1283315553437384708,51563436.3347529,0.0476193149159664,0.000824253381845991976470923091,0.000226,0.000003911884591912418978,442.00248105,7.65071989029449536541197065,5040143.78870256,21.050645,87240.97711525941234917698116,5040143.78870256,87240.97711525941234917698116,114.24588592,62.91677671670924,0.000006919398889538284,0.017309223858019553,4756.822625463091,-46.151149743484034,8739126223.6317817,9282,19271,76494012.48241249,1324051.985856219764731255031,5575.8599721882,96.51380845957623269611179587,120.22525144,2.08100579056164761986140632,107452397.52403884,1859917.602824494234575432251,0.14865662178050004,0.11818338283934318,0.23380730330007687
2017-07-03,14013,5767,5346564,927.096237211722,168542065.4357763975247104759,58258006.4423689,0.0462584913941845,0.00089162472031974603591695148,0.000226,0.000004356112374594117776,480.44069162,9.26041434524087814639458512,5025330.08807878,20.976915,96862.40081017752823194234021,5025330.08807878,96862.40081017752823194234021,97.45676537,62.73465124839088,0.0000075649696084161315,0.019274833515903176,5387.129618142248,-61.13007730656636,8744151553.71986048,10386,21375,89723391.90803046,1729403.441509421322258794219,6874.80348085208,132.5106925479754898500832582,109.740721175,2.1152341305632753657129518,146948924.40321321,2832416.053212976095545529644,0.14873080254010124,0.12062688510370821,0.2331092277238069
2017-07-04,13873,5782,5518916,954.499481148392,156196599.855818184265847315,51025349.6872127,0.0460531443673236,0.0008221726354180031806953393592,0.000226,0.00000403470855588980086,483.69617529,8.6352791897952914986803219,5038401.00039388,21.019255,89949.02488625185641070236621,5038401.00039388,89949.02488625185641070236621,130.59561328,62.587617487077765,0.000006879909994155466,0.01785269272517611,4856.594599258485,-64.99296526504527,8749189954.72025436,10503,21779,66994516.39419344,1196032.515457308862812905407,3751.81432690638,66.97998834017303400319698258,105.527682405,1.88395328797643848377334455,81710764.22569406,1458757.166060628685725500481,0.14849221195255344,0.12076686494171712,0.22977734666830074
2017-07-05,13024,5749,5414709,941.852322142981,149426922.5360633535265970384,56469526.8340437,0.0427573224497053,0.0007298320122550841955268467605,0.000226,0.00000385763245497113378,420.81756755,7.1830066646145461184302515,5009644.99330066,20.88749,85510.48280548793838239727709,5009644.99330066,85510.48280548793838239727709,267.77900947,62.66556660723573,0.000006557989187609585,0.01706917015473953,4825.855128764775,-66.31658544158057,8754199599.71355502,9842,20478,32691881.32759492,558023.2850592697320642139512,2069.12264382121,35.31820647840874851295143943,105.32806212,1.7978626143952552282596036,42371493.50017066,723246.2322648530141666628482,0.1485731537402778,0.11900417716781225,0.22855551335901525
